sirket_adi,sektor,tip,resmi_ad,gercek_sektor,telefon,web,lat,lon
ADANA FATMA KEMAL TİMUÇİN AĞIZ VE DİŞ SAĞLIĞI HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Seyhan Fatma Kemal Timuçin Ağız Ve Diş Hastanesi,Hastaneler,+90 551 644 53 94,http://adanadsm.saglik.gov.tr/,37.017724,35.322813
ADANA FEKE İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,,,,,0.0,
ADANA GIDA KONTROL LABORATUVAR MÜDÜRLÜĞÜ,Gıda Kontrolü,Kamu,Adana Gıda Kontrol Laboratuvar Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 322 344 19 19,Yok,37.009949,35.342586
ADANA HİLTONSA,Turizm,Özel,Adana HiltonSA,Otel,+90 322 355 50 00,https://www.hilton.com/tr/hotels/adahihi-adana-hiltonsa/,36.987574,35.336987
ADANA İL AFET VE ACİL DURUM MÜDÜRLÜĞÜ,Kamu,Kamu,Adana Afet Ve Acil Durum Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 322 227 28 54,Yok,37.017676,35.319531
ADANA İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ,Eğitim,Kamu,Adana İl Milli Eğitim Müdürlüğü,"Belediyeler, Devlet Daireleri",+90 322 200 91 00,http://adana.meb.gov.tr/,37.000388,35.31309
ADANA İL MÜFTÜLÜĞÜ,Kamu,Özel,Adana İl Müftülüğü,"Belediyeler, Devlet Daireleri",+90 322 352 64 75,http://adana.diyanet.gov.tr/,36.992853,35.314517
ADANA İL SAĞLIK MÜDÜRLÜĞÜ,Sağlık,Kamu,Adana İl Sağlık Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 322 344 03 03,https://adanaism.saglik.gov.tr/,37.008656,35.339679
ADANA İL TARIM VE ORMAN MÜDÜRLÜĞÜ,Tarım ve Orman,Kamu,T.C. Tarım ve Orman Bakanlığı Adana İl Müdürlüğü,"Belediyeler, Devlet Daireleri, Devlet kurumları ve bakanlıklar",+90 322 344 17 17,https://adana.tarimorman.gov.tr/,37.012299,35.338795
ADANA İMAMOĞLU DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,İmamoğlu Devlet Hastanesi,Hastaneler,+90 322 891 37 01,Yok,37.251603,35.647257
ADANA KARAİSALI DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Karaisalı Devlet Hastanesi,Hastaneler,+90 322 551 25 24,Yok,37.253998,35.061087
ADANA MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,Eğitim,Kamu,Çukurova Üniversitesi Adana Meslek Yüksekokulu,Üniversiteler,+90 322 226 49 74,http://adanamyo.cu.edu.tr/,37.027149,35.322729
ADANA ORGANİZE SANAYİ BÖLGESİ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,Eğitim,Kamu,Çukurova Üniversitesi Teknik Bilimler Meslek Yüksekokulu,Ortaokul,+90 322 338 60 84,http://tbmyo.cu.edu.tr/tr/,36.974934,35.594744
ADANA ORMAN BÖLGE MÜDÜRLÜĞÜ,Orman,Kamu,Adana Orman Bölge Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 322 457 06 36,https://www.ogm.gov.tr/adanaobm,36.993309,35.331067
ADANA POLİSEVİ ŞUBE MÜDÜRLÜĞÜ,Hukuk ve Adalet,Kamu,Adana Polis Evi,"Yurtlar, Otel",+90 322 435 31 95,http://www.adana.pol.tr/,37.043985,35.314767
ADANA POZANTI 80. YIL DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,,,,,0.0,
ADANA PTT BAŞMÜDÜRLÜĞÜ,Hizmet Sektörü,Kamu,,,,,0.0,
ADANA SAİMBEYLİ ŞEHİT UZMAN ÇAVUŞ ADEM AMBARCI İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Saimbeyli Şehit Uzman Çavuş Adem Ambarcı İlçe Devlet Hastanesi,"Hastaneler, Poliklinikler",+90 322 761 27 27,Yok,37.98042,36.083266
ADANA SANAYİ ODASI BAŞKANLIĞI,Sanayi,Özel,Adana Ticaret Odası,Sanayi ve Ticaret Odaları,+90 322 436 63 63,http://www.adanato.org.tr/,36.992821,35.311863
ADANA SOSYAL GÜVENLİK İL MÜDÜRLÜĞÜ,Kamu,Kamu,Adana Sosyal Güvenlik İl Müdürlüğü,"Belediyeler, Devlet Daireleri",+90 322 363 46 40,Yok,36.998242,35.311668
ADANA ŞEHİR HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,,,,,0.0,
ADANA TOHUM SERTİFİKASYON TEST MÜDÜRLÜĞÜ,Tarım,Kamu,Adana Tohum Sertifikasyon Test Müdürlüğü,Market,+90 322 344 03 45,https://www.tarimorman.gov.tr/BUGEM/adanatohum,36.854918,35.343636
ADANA TUFANBEYLİ DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Tufanbeyli Devlet Hastanesi,Hastaneler,+90 322 781 94 96,https://tufanbeylidh.saglik.gov.tr/,38.257713,36.213339
ADANA VALİLİĞİ,İdari,Kamu,Adana Valiliği,Devlet kurumları ve bakanlıklar,+90 322 459 27 43,http://adana.gov.tr/,37.000209,35.313147
ADANA VETERİNER KONTROL ENSTİTÜSÜ MÜDÜRLÜĞÜ,Kamu,Kamu,,,,,0.0,
ADANA YÜREĞİR KARŞIYAKA AĞIZ VE DİŞ SAĞLIĞI HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Yüreğir Karşıyaka Ağız ve Diş Sağlığı Hastanesi,"Diş sağlığı poliklinikleri, Özel ağız ve diş sağlığı klinikleri ve muayenehaneleri",+90 322 460 42 15,http://adanakarsiyakaadsh.saglik.gov.tr/,36.989893,35.343242
ADANA ZİRAİ ÜRETİM İŞLETMESİ TARIMSAL YAYIM VE HİZMET İÇİ EĞİTİM MERKEZİ MÜDÜRLÜĞÜ,Tarım,Kamu,Adana Zirai Üretim İşletmesi Tarımsal Yayım ve Hizmetiçi Eğitim Merkezi Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 322 344 16 44,https://egitim.tarimorman.gov.tr/adana,37.010644,35.339817
ADAPAZARI BELEDİYE BAŞKANLIĞI,İdari,Kamu,Adapazarı Belediyesi,"Belediyeler, Devlet Daireleri",444 50 54,Yok,40.778283,30.405509
ADAPAZARI KAYMAKAMLIĞI,İdari,Kamu,Adapazarı Kaymakamlığı,"Devlet kurumları ve bakanlıklar, Belediyeler, Devlet Daireleri",+90 264 272 00 81,http://www.adapazari.gov.tr/,40.782588,30.410823
ADASAN DAYANIKLI TÜKETİM MALLARI MOB. İMALAT TURİZM TEKS. İNŞ. SAN. VE TİC. LTD. ŞTİ.,İnşaat ve Turizm,Özel,,,,,0.0,
ADAY BAĞIMSIZ DENETİM SMMM A.Ş.,Hizmet,Özel,Aday Bağımsız Denetim,Denetim firmaları,+90 212 426 00 93,Yok,41.0023,28.820288
ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,Ticaret ve Sanayi,Özel,Adel Kalemcilik,Yönetim ofisi,+90 850 224 23 35,Yok,40.874601,29.409653
ADENA RİSK DEĞERLEME VE SİGORTA EKSPERLİK HİZMETLERİ LTD. ŞTİ.,Finansal Hizmetler,Özel,Adena Risk Değerleme ve Sigorta Eksperlik Hizmetleri,Ekspertiz hizmetleri,+90 322 402 00 52,http://adenarisk.com/,37.003025,35.323008
ADIYAMAN AĞIZ VE DİŞ SAĞLIĞI MERKEZİ BAŞHEKİMLİĞİ,Sağlık,Kamu,,,,,0.0,
ADIYAMAN AİLE VE SOSYAL HİZMETLER İL MÜDÜRLÜĞÜ,Sosyal Hizmetler,Kamu,Adıyaman Aile ve Sosyal İl Müdürlüğü,Sosyal yardım kuruluşları,Yok,http://aile.gov.tr/,37.757575,38.251765
ADIYAMAN BELEDİYE BAŞKANLIĞI,İdari,Kamu,Adıyaman Belediyesi,"Belediyeler, Devlet Daireleri",+90 416 214 28 94,https://www.adiyaman.bel.tr/,37.759839,38.26285
ADIYAMAN BESNİ DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Besni Devlet Hastanesi,Hastaneler,+44 438 334 44,https://besnidh.saglik.gov.tr/,37.678394,37.888244
ADIYAMAN ÇELİKHAN DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Çelikhan Devlet Hastanesi,Hastaneler,+90 416 451 21 01,http://celikhandh.saglik.gov.tr/,38.033953,38.252526
"ADIYAMAN ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ",Kamu,Kamu,"Çevre, Şehircilik Ve İklim Değişikliği İl Müdürlüğü","Belediyeler, Devlet Daireleri, Çevre dernekleri",+90 416 216 19 78,https://adiyaman.csb.gov.tr/,37.761197,38.267005
ADIYAMAN GERGER İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Gerger Devlet Hastanesi,Hastaneler,+90 416 431 22 09,http://gergerdh.saglik.gov.tr/,38.029061,39.027288
ADIYAMAN GÖLBAŞI DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Gölbaşı Devlet Hastanesi,Hastaneler,+90 416 781 61 33,https://adiyamangolbasidh.saglik.gov.tr/,37.79032,37.660236
ADIYAMAN İL AFET VE ACİL DURUM MÜDÜRLÜĞÜ,Kamu,Kamu,İl Afet Ve Acil Durum Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 416 216 12 31,https://adiyaman.afad.gov.tr/,37.763798,38.278679
ADIYAMAN İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ,Eğitim,Kamu,Adıyaman İl Milli Eğitim Müdürlüğü,"Devlet kurumları ve bakanlıklar, Belediyeler, Devlet Daireleri",+90 416 216 10 21,Yok,37.75993,38.264291
ADIYAMAN İL MÜFTÜLÜĞÜ,Kamu,Kamu,Adıyaman Müftülüğü,"Belediyeler, Devlet Daireleri",+90 416 216 10 64,Yok,37.774766,38.262156
ADIYAMAN İL ÖZEL İDARESİ,İdari,Kamu,İl Özel İdaresi,Devlet kurumları ve bakanlıklar,+90 416 216 37 31,http://adiyamanozelidare.gov.tr/,37.764508,38.276125
ADIYAMAN İL SAĞLIK MÜDÜRLÜĞÜ,Sağlık,Kamu,Adıyaman İl Sağlık Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 416 225 01 95,http://adiyamanism.saglik.gov.tr/,37.763292,38.325091
ADIYAMAN İL TARIM VE ORMAN MÜDÜRLÜĞÜ,Tarım ve Orman,Kamu,İl Tarım ve Orman Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 416 216 17 44,http://adiyaman.tarimorman.gov.tr/,37.751302,38.248781
ADIYAMAN KAHTA DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Adıyaman Kahta Devlet Hastanesi,Hastaneler,+90 416 725 50 67,http://kahtadh.saglik.gov.tr/,37.797439,38.606488
ADIYAMAN KAHTA GÖÇERİ İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Göçeri Devlet Hastahanesi,Hastaneler,+90 416 745 81 08,Yok,37.78135,38.747067
ADIYAMAN MERKEZ TOPLUM SAĞLIĞI MERKEZİ BAŞKANLIĞI,Sağlık,Kamu,Adıyaman Merkez Toplum Sağlığı Merkezi,Poliklinikler,+90 416 216 38 07,Yok,37.762311,38.272424
ADIYAMAN POLİSEVİ ŞUBE MÜDÜRLÜĞÜ,Kamu,Kamu,Adıyaman Polis Evi,"Yurtlar, Polis merkezleri",+90 416 224 05 71,Yok,37.764902,38.302334
ADIYAMAN PTT BAŞMÜDÜRLÜĞÜ,Kamu,Özel,,,,,0.0,
ADIYAMAN SERT KABUKLU MEYVELER ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ,Araştırma,Kamu,,,,,0.0,
ADIYAMAN SİNCİK İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Adıyaman Sincik İlçe Devlet Hastanesi,Hastaneler,+90 416 421 20 14,http://sincikdh.saglik.gov.tr/,38.02066,38.615363
ADIYAMAN SOSYAL GÜVENLİK İL MÜDÜRLÜĞÜ,Kamu,Kamu,Adıyaman Sosyal Güvenlik İl Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 416 216 06 53,https://www.turkiye.gov.tr/sosyal-guvenlik-kurumu,37.762833,38.273657
ADIYAMAN ÜNİVERSİTESİ EĞİTİM VE ARAŞTIRMA HASTANESİ BAŞHEKİMLİĞİ,Eğitim,Kamu,Adıyaman Üniversitesi Eğitim ve Araştırma Hastanesi,Hastaneler,+90 416 216 10 15,Yok,37.76721,38.323548
ADIYAMAN ÜNİVERSİTESİ REKTÖRLÜĞÜ,Eğitim,Kamu,Adıyaman Üniversitesi Rektörlük,Üniversiteler,+90 416 223 38 00,http://adiyaman.edu.tr/,37.744151,38.233675
ADIYAMAN VALİLİĞİ,Kamu,Kamu,Adıyaman Valiliği,Devlet kurumları ve bakanlıklar,+90 416 219 21 11,http://www.adiyaman.gov.tr/,37.759768,38.263524
ADLİ TIP KURUMU BAŞKANLIĞI,Hukuk,Kamu,Adli Tıp Kurumu Başkanlığı,"Adli tıp, Devlet kurumları ve bakanlıklar",+90 212 454 15 00,https://www.atk.gov.tr/,40.993455,28.830896
ADME SİSTEM DENİZ DOĞA SPORLARI VE AVCILIK MALZEMELERİ İÇ VE DIŞ TİCARET LTD. ŞTİ.,Ticaret,Özel,,,,,0.0,
ADNAN SAĞLIK HİZMETLERİ A.Ş.,Sağlık,Özel,,,,,0.0,
ADOPEN PLASTİK VE İNŞAAT SANAYİ A.Ş.,İnşaat,Özel,Adopen,"Pencere üretim ekipmanları, Pencere aksesuarları, Pencere üretim, satış ve montaj firmaları, Kapılar",+90 242 236 20 00,http://www.adopen.com/,37.078399,30.619602
ADRESGEZGİNİ A.Ş.,Finansal Hizmetler,Özel,Adresgezgini,Reklam ajansları,444 09 64,http://www.adresgezgini.com/,41.079736,29.006849
AFET VE ACİL DURUM YÖNETİMİ BAŞKANLIĞI (AFAD),Kamu,Kamu,Afet ve Acil Durum Yönetimi Başkanlığı,Devlet kurumları ve bakanlıklar,+90 312 258 23 23,Yok,39.906507,32.75874
AFİR TERMAL TURİZM İNŞAAT ÖZEL EĞİTİM GIDA SANAYİ VE TİCARET A.Ş.,Turizm ve İnşaat,Özel,,,,,0.0,
AFŞİN KAYMAKAMLIĞI,Kamu,Kamu,Afşin Kaymakamlığı,Devlet kurumları ve bakanlıklar,+90 344 511 93 01,http://www.afsin.gov.tr/,38.238302,36.917758
AFYON KOCATEPE ÜNİVERSİTESİ REKTÖRLÜĞÜ,Eğitim,Kamu,Afyon Kocatepe Üniversitesi Rektörlük,Üniversiteler,444 03 03,https://aku.edu.tr/rektorluk/,38.812116,30.535768
AFYON MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,Eğitim,Kamu,,,,,0.0,
AFYONKARAHİSAR AĞIZ VE DİŞ SAĞLIĞI MERKEZİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Afyonkarahisar Ağız Ve Diş Sağlığı Merkezi,"Diş sağlığı poliklinikleri, Özel ağız ve diş sağlığı klinikleri ve muayenehaneleri",+90 272 213 09 20,http://afyonkarahisaradsm.saglik.gov.tr/,38.765085,30.545203
AFYONKARAHİSAR AİLE VE SOSYAL HİZMETLER İL MÜDÜRLÜĞÜ,Sosyal Hizmetler,Kamu,,,,,0.0,
AFYONKARAHİSAR BELEDİYE BAŞKANLIĞI,İdari,Kamu,Afyonkarahisar Belediyesi,"Belediyeler, Devlet Daireleri",+90 272 214 42 55,http://www.afyon.bel.tr/,38.75852,30.539893
AFYONKARAHİSAR BOLVADİN DR. HALİL İBRAHİM ÖZSOY DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Afyonkarahisar Dr.Halil İbrahim Özsoy Bolvadin Devlet Hastanesi,Hastaneler,+90 272 612 91 02,Yok,38.730516,31.046573
"AFYONKARAHİSAR ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ",Kamu,Kamu,Afyonkarahisar Çevre ve Şehircilik İl Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 272 229 48 50,https://afyon.csb.gov.tr/,38.776127,30.53382
AFYONKARAHİSAR DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,,,,,0.0,
AFYONKARAHİSAR EMİRDAĞ DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Afyonkarahisar Emirdağ Devlet Hastanesi,Hastaneler,+90 272 442 76 55,http://emirdagdh.saglik.gov.tr/,39.005832,31.1444
AFYONKARAHİSAR GIDA KONTROL LABORATUVAR MÜDÜRLÜĞÜ,Kamu,Özel,Afyonkarahisar Gıda Kontrol Laboratuar Müdürlüğü,"Belediyeler, Devlet Daireleri",+90 272 213 79 13,https://gidalab.tarimorman.gov.tr/afyonkarahisar,38.780626,30.535803
AFYONKARAHİSAR İL AFET VE ACİL DURUM MÜDÜRLÜĞÜ,Kamu,Kamu,İl Afet ve Acil Durum Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 272 252 53 60,Yok,38.78854,30.468403
AFYONKARAHİSAR İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ,Eğitim,Kamu,Afyonkarahisar İl Eğitim Tarihi Müzesi,Eğitim Merkezleri,+90 272 213 76 03,http://afyon.meb.gov.tr/,38.772909,30.530938
AFYONKARAHİSAR İL MÜFTÜLÜĞÜ,İdari,Kamu,Afyonkarahisar Müftülüğü,"Belediyeler, Devlet Daireleri",+90 272 213 77 07,http://afyonkarahisar.diyanet.gov.tr/,38.756886,30.542837
